volume_number	page_number	x1	y1	x2	y2	tokens_count	mean_confidence	text	image
5961	1	1017	386	2200	446	3	0.91771	Смерть немецким оккупантам.	vol-5961-page-01-seg-001-1017-0386-2200-0446.png
5961	1	296	477	2241	817	8	0.94156	ЦЕНТРАЛЬНЫЙ ОРГАН НАРОДНОГО КОМИССАРИАТА ОБОРОНЫ СОЮЗА ССР 1:	vol-5961-page-01-seg-004-0296-0477-2241-0817.png
5961	1	336	856	596	907	2	0.82007	281 (5961)	vol-5961-page-01-seg-005-0336-0856-0596-0907.png
5961	1	827	856	1737	904	5	0.91989	28 ноября 1944 г., вторник	vol-5961-page-01-seg-006-0827-0856-1737-0904.png
5961	1	1958	850	2202	898	2	0.84640	ЦЕНА 20 КОП.	vol-5961-page-01-seg-008-1958-0850-2202-0898.png
5961	1	2368	477	3312	555	13	0.90871	От Советского Информбюро. Оперативные сводки за 26 и 27 ноября (1 стр. ).	vol-5961-page-01-seg-010-2368-0477-3312-0555.png
5961	1	2366	569	3306	869	35	0.92001	Указы Президиума Верховного Совета СССР (1 стр. ). Пи Письмо товарищу Сталину от трудящихся города Таллина (2 стр. ). Гвардии майор М. Камышев. Боевое содруже- ство (2 стр. ). Илья Эренбург. Герои «Нормандии» (2 стр.).	vol-5961-page-01-seg-011-2366-0569-3306-0869.png
5961	1	3408	475	4345	552	9	0.92535	Майор И. Бойков. Под проливным дождем (2 стр. ).	vol-5961-page-01-seg-012-3408-0475-4345-0552.png
5961	1	3408	554	4349	865	55	0.94113	Гвардии подполковник А. Позднышев. --же- лые танки в лесисто-болотистой местности (3 стр. ) Капитан М. Осипов. -- Книга на фронте (3 стр. ) Решения съезда конгресса производственных проф союзов США в Чикаго (3 стр. ). Военные действия в Западной Европе (4 стр. ). Полковник Н. Денисов, - Воздушные операции союзников над Германией (4 стр. ).	vol-5961-page-01-seg-013-3408-0554-4349-0865.png
5961	1	488	969	2102	1250	15	0.90777	::: II PКА : : Верховного Главнокомандующеето Генералу армии ЕТ Р О В У :	vol-5961-page-01-seg-014-0488-0969-2102-1250.png
5961	1	267	1275	1283	2864	136	0.96436	Войска 4-го УКРАИНСКОГО фронта сего- дня, 26 ноября, овладели на территории Чехословакии городами МИХАЛЬОВЦЕ и us ГУМЕННЕ важными узлами коммуникаций и опорными пунктами обороны противника. В боях за овладение городами МИХАЛЬ- ОВЦЕ и ГУМЕННЕ отличились войска гене- рал-полковника ГРЕЧКО, генерал-майора - ГАСТИЛОВИЧА, генерал-лейтенанта ГОР- ДЕЕВА, генерал-майора ЗАПОРОЖЧЕНКО, генерал-майора ВЕДЕНИНА, генерал-майора МЕЛЬНИКОВА, генерал-майора ДРЕМИНА, полковника ШУБА, генерал-майора ГРИН- ЧЕНКО, генерал-майора ГЛАДКОВА, гене- рал-майора ЛИСИНОВА, генерал-майора БЕЖКО, генерал-майора ПРОХОРОВА, ге- нерал-майора ДУДАРЕВА, полковника ВА- СИЛЬЕВА, полковника УГРЮМОВА, пол- ковника ТЕТЕНКО, полковника ЧЕРНОГО; артиллеристы генерал-лейтенанта артилле- рии КАРИОФИЛЛИ, генерал-майора артил- лерии БРИЧЕНОК, генерал-майора артилле- рии НАЙДЕНКОВА, полковника ЧЕНГЕРИ, полковника ДЖИГА, полковника БРОЗ- ГОЛЬ, полковника МИРОНОВА, полковника ХАНОВИЧА, полковника ЦИВЧИНСКОГО, генерал-майора артиллерии ЖИБУРКУС, полковника ПАВЛЕНКО; танкисты генерал- майора танковых войск ШИРОБОКОВА, генерал-майора танковых войск РАЙКИНА, полковника СЕРОВА, полковника МОРУСА, полковника ХОПКО, подполковника ОЛЬ- ХОВЕНКО, подполковника ВАСИЛЬЕВА; летчики генерал-лейтенанта авиации ЖДА-	vol-5961-page-01-seg-015-0267-1275-1283-2864.png
5961	1	1306	1263	2306	1966	61	0.96000	НОВА, генерал-лейтенанта авиации НЯНЕЙ- ШВИЛИ, генерал-майора авиации ГОЛОВ- НЯ, генерал-майора авиации КОТЕЛЬНИ- КОВА, генерал-майора авиации ЛАКЕЕВА, полковника ЧУК, полковника ОБУХОВА; : : : саперы генерал-майора инженерных войск КОЛЕСНИКОВА, генерал-майора инженер- ных войск ГОВОРОВА, полковника ЖЮРИ- НА, полковника БАРАШ, полковника ДА- ВИДЕНКО, подполковника БАРКАЛОВА; связисты генерал-лейтенанта войск связи МАТВЕЕВА, полковника БЕЛЯНЧИКА, пол- ковника НЕКРАСОВА, полковника ЕФИМА- ВА, полковника СТЕПАНЯНА, подполков- ника НУЖДИНА.	vol-5961-page-01-seg-016-1306-1263-2306-1966.png
5961	1	1300	1969	2294	2858	94	0.96638	В ознаменование одержанной победы со- единения и части, наиболее отличившиеся в боях за овладение городами МИХАЙЛОВ- ЦЕ и ГУМЕННЕ, представить к награжде- нию орденами. Сегодня, 26 ноября, в 22 часа столица нашей Родины МОСКВА от имени Родины салютует доблестным войскам 4-го Украин- ского фронта, овладевшим городами МИ- ХАЛЬОВЦЕ и ГУМЕННЕ, - двенадцатью артиллерийскими залпами из ста двадцати четырех орудий. За отличные боевые действия ОБ'ЯВЛЯЮ БЛАГОДАРНОСТЬ руководимым Вами вой- скам, участвовавшим в боях за освобожде- ние городов МИХАЛЬОВЦЕ и ГУМЕННЕ. Вечная слава героям, павшим в боях за свободу и независимость нашей Родины! Смерть немецким захватчикам!	vol-5961-page-01-seg-017-1300-1969-2294-2858.png
5961	1	336	2887	2181	3102	11	0.94934	Верховный Главнокомандующий Маршал Советско10 Союза И. СТАЛИН. 26 ноября 1944 года.	vol-5961-page-01-seg-018-0336-2887-2181-3102.png
5961	1	413	3172	2144	3279	5	0.97208	Инициатива младшего офицера в бою	vol-5961-page-01-seg-019-0413-3172-2144-3279.png
5961	1	253	3301	921	3930	92	0.95534	Сотни километров по фронту и такие же большие пространства в глубину за- нимает поле современного сражения. Ныне одновременно вводятся в бой огромные массы войск, по численности превышаю- щие всю армию Наполеона, которой ой вторгся в Россию. Участие нескольких Фронтов в общей наступательной опера- пии стало обычным явлением в боевой деятельности советских вооруженных сил. Однако большой размах наступательных сражений ни в коей мере не умаляет высокого значения в бою смекалки, инициативы и личного почина младших офицеров всех родов войск. Наоборот, чем крупнее сражение, тем ответствен- нее в нем роль каждого командира под- разделения.	vol-5961-page-01-seg-020-0253-3301-0921-3930.png
5961	1	240	3951	911	4653	104	0.95988	Как доброкачественную пепь большой длины можно изготовлять только из проч- ных звеньев, ибо иначе она не выдержит и небольшой тяжести пли может рассы- паться под влиянием собственного веса, так и войска. вводимые в бой одновре- менно крупными массами, сверху донизу нуждаются в прочной и безукоризнен- ной организованности. Не будет этого. усилия войск пойдут вразброд, они не смогут достичь пели, поставленной стар- шим начальником. Младшие лейтенанты, лейтенанты, старшие лейтенанты, капи- таны, возглавляющие взводы, роты, бата- рэп, эскадроны, нередко батальоны и ди- визионы, являются теми звеньями в об- щей цепи наступающих войск, мастер- скими действиями которых питается непоборимая сила всех частей Красной Армин, участвующих в операции.	vol-5961-page-01-seg-021-0240-3951-0911-4653.png
5961	1	232	4674	898	4953	37	0.95885	Нога готовится наступление с участием многих общевойсковых соединений, тан- ков. артиллерии. оно планируется старшим начальником. Батальоны, роты, батареи и взводы получают определенные задачи. строго разграниченные по местности. Все их действия, по крайней мере в начале наступления, регламентированы.	vol-5961-page-01-seg-022-0232-4674-0898-4953.png
5961	1	230	4970	896	5388	60	0.96368	Но офицер никогда не станет настоящим мастером военного дела, если он не стре- мится действовать в бою инициативно. Всякое мастерство связано неразрывно творчеством. Творческая деятельность командира. его стремление решать боевые задачи, сообразуясь с обстановкой, всегда приводили к победе. Примечательно, что офицер, который проникнут духом пиппа- тивы и настойчиво ищет возможностей для ее применения, в любых условиях нахо- дит эти возможности.	vol-5961-page-01-seg-023-0230-4970-0896-5388.png
5961	1	226	5411	890	5655	32	0.93804	По сравнению с маневренными боя- ми, при прорыве обороны врага меньше возможностей для инициативных и само- : стоятельных решений командиров подраз- делений. Но предприимчивые младшие офицеры не теряются и в этой обстанов-	vol-5961-page-01-seg-024-0226-5411-0890-5655.png
5961	1	948	3295	1598	3366	9	0.95177	ке, творчески решая свои задачи, прояв- ляя разумную инициативу.	vol-5961-page-01-seg-025-0948-3295-1598-3366.png
5961	1	934	3372	1600	4139	107	0.96587	стрелковый полк готовился к проры- ву немецкой обороны, расположенной за небольшой водной преградой. Накануне ата- короты заняли исходное положение по восточному берегу. Когда же наступила ночь, некоторые командиры рот, по соб- ственному почину, перебрались через ре- ку. Эти командиры правильно учли ха- рактер местности в расположении против- ника, позволявшей в отдельных местах занять исходное положение на том берегу реки. Утром началась артиллерийская под- готовка. Предусмотрительные командиры рот сумели воспользоваться и этим обсто- ятельством. Где ползком, где пригнувшись, они продвигали бойцов вперед, чтобы по- дойти вплотную противнику. С началом наступления полка сближение подразделе- ний с окопами врага, организованное предприимчивыми млалисими офиперами, помогло этим ротам первыми захватить немецкие траншеи.	vol-5961-page-01-seg-026-0934-3372-1600-4139.png
5961	1	927	4157	1587	4572	66	0.96413	Можно привести множество других фак тов из боевой практики наших войск когда инициативные и смелые действия младших офицеров различных специально- стей обеспечивали успех не только роты или батальона, но и всего полка. Особен- но велико значение самостоятельных ре- ше ний младших офицеров в кризисные ми- нуты борьбы и в то время, когда тре- буется наладить взаимодействие между подразделениями различных родов войск, поддержать друг друга в бою.	vol-5961-page-01-seg-027-0927-4157-1587-4572.png
5961	1	917	4589	1581	5288	106	0.96514	Поле боя обширно. Поступающие стрел- ковые полки усиливаются многочисленной и разнообразной техникой. Командир пол- ка не может знать каждую минуту, в ка- ких условиях ведут бой все его роты и подразделения других родов войск, дейст- вующие совместно с полком. Многие труд- ности, которые возникают в бою чаще все- го неожиданно, младшие офицеры обязаны преодолевать своими силами, не ожидая, пока придет помощь старшего начальника. Борьба с ожившими огневыми точками врага, уничтожение вновь обнаруженных очагов сопротивления. отражение контр- атак немцев, предпринимаемых частными резервами. преодоление препятствий и ми- нированных участков всё это входит в круг боевой деятельности рот. взводов, ба- тарей, т. е. тех подразделений, которые возглавляются младигими офицерами.	vol-5961-page-01-seg-028-0917-4589-1581-5288.png
5961	1	911	5305	1575	5651	52	0.96115	На практике никогда не бывает так, что сила сопротивления противника рас- пределяется равномерно по всей полосе наступления полка. В одном месте она слаба, в другом вовсе сломлена насту- пающими, в третьем, наоборот. возросшая стойкость противника вызвала упорные бол. Конечно, старший командир управ- ляет боем непрерывно. Он помогает своим подразделениям преодолеть те участки	vol-5961-page-01-seg-029-0911-5305-1575-5651.png
5961	1	1623	3291	2283	3501	32	0.96013	обороны, где немцы проявляют наибольшее упорство Но расчет на помощь старшего начальника младшие офицеры обязаны сочетать с активным и решительным при- мененией своих собственных сил и средств. В этом - залог успеха.	vol-5961-page-01-seg-030-1623-3291-2283-3501.png
5961	1	1612	3516	2277	4426	132	0.96283	Красная Армия вплотную подошла наиболее прочным рубежам немецкой обо- роны, которыми прикрыта берлога фа- шистского зверя. Эти оборонительные по- лосы немцев вытяпуты па десятки кило- метров по глубине. Они насыщены разно- характерными инженерными сооружения- ми. Естественно, что разный характер оборонительных построек требует от на- ступающих и различных тактических при- емов при их преодолений. Это касается прежде всего младших офицеров. Они, уп- равляя боем взводов, рот и батарей, ведут борьбу с отдельными очагами сопротивле- пия противника, где бы он ни находился и какими бы укрытиями ни защищался. От инициативных и решительных дейст- вий младших офицеров, поставленных во главе штурмовых групп. зависит успех борьбы этих групп с долговременными ог- певыми точками врага. Споровистое уни- чтожение дотов и дзотов противника при прорыве долговременной обороны является основой успеха наступающих войск, гарап- тируюшей пужные темпы продвижения вперед.	vol-5961-page-01-seg-031-1612-3516-2277-4426.png
