Id	HitRatio	MissRatio	Reference	InvalidCases	HitTeams	MissTeams
сегодня до 2х часов дня	0.0	1.0	2020-11-27T13	2020, 2020--, 2020-11-02, 2020-11-02 - 2020-11-02, 2020-11-2, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T00:00 - 2020-11-27T14:00, 2020-11-27T02:30, 2020-11-27T02:30 - 2020-11-27T14:00, 2020-11-27T14, 2020-11-27T14:00, 2020-11-27T17:30, 2020-11-27T2:30, 2020-11-27T2:30 - 2020-11-27T14:00, 2020-11-28 01:00:00, 2020-11-28T01:00, 2020-11-28T01:00:00, 2020-11-28T14:00 -, 2020-12-01, null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
сегодня до 2-х часов дня	0.0	1.0	2020-11-27T13	2020, 2020--, 2020-11-02, 2020-11-02 - 2020-11-02, 2020-11-2, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T00:00 - 2020-11-27T14:00, 2020-11-27T02:30, 2020-11-27T02:30 - 2020-11-27T14:00, 2020-11-27T14, 2020-11-27T14:00, 2020-11-27T17:30, 2020-11-27T2:30, 2020-11-27T2:30 - 2020-11-27T14:00, 2020-11-28 02:00:00, 2020-11-28T02:00, 2020-11-28T02:00:00, 2020-11-28T14:00 -, 2020-12-01, null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
до 14:00	0.0	1.0	2020-11-27T13	1400-11-27, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 14:00:00, 2020-11-27T00:00 - 2020-11-27T14:00, 2020-11-27T02:00, 2020-11-27T02:30, 2020-11-27T02:30 - 2020-11-27T14:00, 2020-11-27T14, 2020-11-27T14 : 00, 2020-11-27T14:00, 2020-11-27T14:00:00, 2020-11-27T17:30, 2020-11-27T2:00, 2020-11-27T2:30, 2020-11-27T2:30 - 2020-11-27T14:30, 2020-11-28, 2020-11-28T00:00, 2020-11-28T14:00, 2020-11-29, 2020-12-01, None - 2020-11-29T14:00		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
сегодня до 14:00	0.0	1.0	2020-11-27T13	1400-11-27, 2020, 2020--, 2020-11-02 - 2020-11-29T14:00, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27 14:00:00, 2020-11-27T00:00 - 2020-11-27T14:00, 2020-11-27T02:00, 2020-11-27T02:30, 2020-11-27T02:30 - 2020-11-27T14:00, 2020-11-27T14, 2020-11-27T14:00, 2020-11-27T14:00:00, 2020-11-27T17:30, 2020-11-27T2:00, 2020-11-27T2:30, 2020-11-27T2:30 - 2020-11-27T14:30, 2020-11-28T14:00 -, 2020-12-01		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
сегодня до 14.00	0.0	1.0	2020-11-27T13	2020, 2020--, 2020-11-02 - None, 2020-11-14, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T00:00 - 2020-11-27T14:00, 2020-11-27T02:30, 2020-11-27T02:30 - 2020-11-27T14:00, 2020-11-27T14, 2020-11-27T14:00, 2020-11-27T17:30, 2020-11-27T2:30, 2020-11-27T2:30 - 2020-11-27T14:30, 2020-11-28T14:00 -, 2020-12-01, None, i dont know how to parse this sorry		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
В 1956 году зима в Калининграде выдалась суровой. Той зимой снег выпал рано	0.0	1.0	1956-12 - 1957-02	0064-11-29T11:17, 1941-12-01 - 1942-02-28, 1956, 1956-01-01 -, 1956-11-27, 1956-12, 1956-12-01 - 1957-02-28, 1956-12-01 - 1957-03-01, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, [Date(year=1956, month=None, day=None)], i dont know how to parse this sorry, null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
За зиму 1941/42 года	0.0	1.0	1941-12 - 2020-02	1941-01-01 - 1942-12-31, 1941-11-27, 1941-12 - 1942-02, 1941-12-01 - 1942-02-28, 1941-12-01 - 2020-03-01, 1941-12-1 - 1942-2-28, 1956, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, [Date(year=1956, month=None, day=None)], i dont know how to parse this sorry		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
Зимой 1941-1942 гг.	0.0	1.0	1941-12 - 2020-02	1941-01-01 - 1942-12-31, 1941-11-27, 1941-12 - 1942-02, 1941-12 - 1942-2, 1941-12-01 - 1942-02-28, 1941-12-01 - 2020-03-01, 1942, 1942-1-19, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, None - None, [Date(year=1942, month=None, day=None)], i dont know how to parse this sorry		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
на протяжении зимы 1941-42 года	0.0	1.0	1941-12-01 - 2020-02	1941-01-01 - 2042-12-31, 1941-11-27, 1941-12 - 1942-02, 1941-12 - 1942-2, 1941-12-01 - 1942-02-28, 1941-12-01 - 1942-02-28 - 1941-12-01 - 1942-02-28, 1941-12-01 - 2020-03-01, 1942, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, None - None, [Date(year=1942, month=None, day=None)], i dont know how to parse this sorry		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
зима 1941-1942 года	0.0	1.0	1941-12 - 2020-02	1941-01-01 - 1942-12-31, 1941-11-27, 1941-12 - 1942-02, 1941-12 - 1942-2, 1941-12-01 - 1942-02-28, 1941-12-01 - 2020-03-01, 1942, 1942-1-19, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, None - None, [Date(year=1942, month=None, day=None)], i dont know how to parse this sorry		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
зимой 1941-1942 годов	0.0	1.0	1941-12 - 2020-02	1941-01-01 - 1942-12-31, 1941-11-27, 1941-12 - 1942-02, 1941-12 - 1942-2, 1941-12-01 - 1942-02-28, 1941-12-01 - 2020-03-01, 1942, 1942-1-19, 2020, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, None - None, [Date(year=1942, month=None, day=None)], i dont know how to parse this sorry		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
на майских праздниках в 1943 году	0.0	1.0	1943-05-01 - 1943-05-02	1943, 1943-01-01 -, 1943-05, 1943-05-01, 1943-05-01 - 1943-05-03, 1943-05-01 - 1943-05-04, 1943-05-01 - 1943-05-31, 1943-05-1 - 1943-05-11, 1943-05-27, 1943-5-27, 2020, 2020--, 2020-05-09, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-12-01, None, [Date(year=1943, month=None, day=None)], i dont know how to parse this sorry, null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
последние четыре секунды	0.0	1.0	2020-11-27T02:29:56 - 2020-11-27T02:29:59	1943, 2020, 2020--, 2020-11-04, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27 02:30:04, 2020-11-27T02:29:56 - 2020-11-27T02:30, 2020-11-27T02:29:56 - 2020-11-27T02:30:00, 2020-11-27T02:30, 2020-11-27T02:30:04, 2020-11-27T2:30, 2020-11-28T16:00, 2020-11-4, 2020-12-01, None, [Date(year=1943, month=None, day=None)], []		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
за четырех секунды до настоящего момента	0.0	1.0	2020-11-27T02:29:56	1943, 2020, 2020--, 2020-11-04, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:29:59, 2020-11-27 02:30:00, 2020-11-27T02:29, 2020-11-27T02:29:56 - 2020-11-27T02:30, 2020-11-27T02:29:56 - 2020-11-27T02:30:00, 2020-11-27T02:29:59, 2020-11-27T02:30, 2020-11-27T02:30 - 2020-11-27T02:30, 2020-11-27T02:30:00, 2020-11-27T2:30, 2020-11-28T16:00, 2020-11-4, 2020-12-01, None, [Date(year=1943, month=None, day=None)], [], null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
в течение последнего часа	0.0	1.0	2020-11-27T01:31 - 2020-11-27T02:30	1943, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 01:00:00, 2020-11-27 02:30:00, 2020-11-27T01:00, 2020-11-27T01:00:00, 2020-11-27T01:30 - 2020-11-27T02:30, 2020-11-27T02:30, 2020-11-27T1:30 - 2020-11-27T2:30, 2020-11-27T1:30 – 2020-11-27T2:30, 2020-11-27T2:30, 2020-11-29T01:00, 2020-12-01, [Date(year=1943, month=None, day=None)], [], null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
за прошедший час	0.0	1.0	2020-11-27T01:31 - 2020-11-27T02:30	1943, 2020, 2020--, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 01:30:00, 2020-11-27 02:30:00, 2020-11-27T01:30, 2020-11-27T01:30 - 2020-11-27T02:30, 2020-11-27T01:30:00, 2020-11-27T02:30, 2020-11-27T1:30 - 2020-11-27T2:30, 2020-11-27T1:30 – 2020-11-27T2:30, 2020-11-27T2:30, 2020-12-01, None, [Date(year=1943, month=None, day=None)], [], null		-REFERENCE-temporal-corpora-rev3, 21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
на следующий вторник	0.05263157894736842	0.9473684210526316	2013-12-01	2020, 2020--, 2020-02-27, 2020-11-24, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28, 2020-11-29, 2020-12-01, 2020-12-01T, 2020-12-01T09:00, 2020-12-1, 2020-12-7T02:30	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
ко вторнику	0.05263157894736842	0.9473684210526316	2013-12-01	2020, 2020--, 2020-11-24, 2020-11-24T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28, 2020-11-29, 2020-12-01, 2020-12-01T, 2020-12-01T09:00, 2020-12-1, None, []	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
следующий вторник	0.05263157894736842	0.9473684210526316	2013-12-01	2020, 2020--, 2020-02-27, 2020-11-24, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28, 2020-11-29, 2020-12-01, 2020-12-01T, 2020-12-01T09:00, 2020-12-1, 2020-12-7T02:30	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
в воскресенье	0.05263157894736842	0.9473684210526316	2020-02-29	2020, 2020--, 2020-05-27, 2020-08-16, 2020-09-27, 2020-11-21T02:30, 2020-11-22, 2020-11-22T00:00, 2020-11-22T02:30, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-28, 2020-11-29, 2020-11-29T, 2020-11-29T09:00, 2020-12-01, 2020-16-08, 2020-9-27, None, null	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
воскресенье	0.05263157894736842	0.9473684210526316	2020-02-29	2020, 2020--, 2020-05-27, 2020-08-16, 2020-09-27, 2020-11-21T02:30, 2020-11-22, 2020-11-22T00:00, 2020-11-22T02:30, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-28, 2020-11-29, 2020-11-29T, 2020-11-29T09:00, 2020-12-01, 2020-16-08, 2020-9-27, None	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
ближайшее воскресенье	0.05263157894736842	0.9473684210526316	2020-02-29	2020, 2020--, 2020-05-27, 2020-08-16, 2020-09-27, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28, 2020-11-28T02:30, 2020-11-29, 2020-11-29T, 2020-11-29T09:00, 2020-12-01, 2020-16-08, 2020-9-27, None	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
в последний день недели	0.05263157894736842	0.9473684210526316	2020-02-29	2020, 2020--, 2020-08-16, 2020-11-09, 2020-11-09T, 2020-11-09T00:00, 2020-11-22, 2020-11-23, 2020-11-23T00:00, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-28, 2020-11-29, 2020-12-01, 2020-16-08, [], null	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
вс.	0.05263157894736842	0.9473684210526316	2020-02-29	2020, 2020--, 2020-08-16, 2020-11-21T02:30, 2020-11-22, 2020-11-22T00:00, 2020-11-22T02:30, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-28, 2020-11-29, 2020-11-29T, 2020-11-29T09:00, 2020-12-01, 2020-16-08, None	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
в вс.	0.05263157894736842	0.9473684210526316	2020-02-29	2020, 2020--, 2020-08-16, 2020-11-21T02:30, 2020-11-22, 2020-11-22T00:00, 2020-11-22T02:30, 2020-11-25, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-28, 2020-11-29, 2020-11-29T, 2020-11-29T09:00, 2020-12-01, 2020-16-08, None, null	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
на неделе	0.05263157894736842	0.9473684210526316	2020-11-23	2020, 2020--, 2020-11-22, 2020-11-22T00:00, 2020-11-23 - 2020-11-29, 2020-11-23 - 2020-11-39, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-30, 2020-11-30T, 2020-11-30T00:00, 2020-12-01, 2026-01-25, 2026-1-25, None, [Date(year=2026, month=1, day=None)], []	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
на этой неделе	0.05263157894736842	0.9473684210526316	2020-11-23	2020, 2020--, 2020-11-23 -, 2020-11-23 - 2020-11-29, 2020-11-23 - 2020-11-39, 2020-11-26T02:30, 2020-11-27, 2020-11-27T02:30, 2020-11-30, 2020-11-30T, 2020-11-30T00:00, 2020-12-01, 2026-01-25, 2026-1-25, None, [Date(year=2026, month=1, day=None)]	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
за эту неделю	0.05263157894736842	0.9473684210526316	2020-11-23	2020, 2020--, 2020-11-20 02:30:00, 2020-11-20T02:30, 2020-11-20T02:30:00, 2020-11-23 -, 2020-11-23 - 2020-11-29, 2020-11-23 - 2020-11-39, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-30, 2020-12-01, 2026-01-25, 2026-1-25, [Date(year=2026, month=1, day=None)], [], null	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
всю эту неделю	0.05263157894736842	0.9473684210526316	2020-11-23	2020, 2020--, 2020-11-23 -, 2020-11-23 - 2020-11-29, 2020-11-23 - 2020-11-39, 2020-11-26T02:30, 2020-11-27, 2020-11-27 00:00:00, 2020-11-27 02:30:00, 2020-11-27T02:30, 2020-11-27T2:30, 2020-11-30, 2020-11-30T, 2020-11-30T00:00, 2020-12-01, 2026-01-25, 2026-1-25, [Date(year=2026, month=1, day=None)], []	-REFERENCE-temporal-corpora-rev3	21-coders, Cheliki, Dmitry Mikhaylenko, ElenaKiseleva, Evgenii Chernov, Inception, Le-Coqs, MLaureen, Microvolnovka, MyParser, Red-alert, Shrugged, handcrafted_solution, hrambton, monuwio, schips_21, sisidra, Нубы
