Score	Team	Submission
0.8376288659793815	-REFERENCE-temporal-corpora-rev3	temporal-corpora-ru-rev3-kaggle-test.csv
0.7396907216494846	Нубы	18340935 - Pub_0_72809 Priv_0_72809.csv
0.7061855670103093	handcrafted_solution	18340316 - Pub_0_71280 Priv_0_71280.csv
0.634020618556701	MyParser	18338306 - Pub_0_63445 Priv_0_63445.csv
0.5644329896907216	Inception	18345704 - Pub_0_57603 Priv_0_57603.csv
0.422680412371134	Evgenii Chernov	18356977 - Pub_0_44329 Priv_0_44329.csv
0.3427835051546392	ElenaKiseleva	18344287 - Pub_0_35567 Priv_0_35567.csv
0.33762886597938147	Dmitry Mikhaylenko	18356650 - Pub_0_33762 Priv_0_33762.csv
0.3118556701030928	monuwio	18335692 - Pub_0_30927 Priv_0_30927.csv
0.2654639175257732	Microvolnovka	18358494 - Pub_0_26804 Priv_0_26804.csv
0.18814432989690721	Cheliki	18356678 - Pub_0_19329 Priv_0_19329.csv
0.14690721649484537	21-coders	18354574 - Pub_0_15670 Priv_0_15670.csv
0.11855670103092783	Red-alert	18358781 - Pub_0_16907 Priv_0_16907.csv
0.11082474226804123	Shrugged	18346254 - Pub_0_12371 Priv_0_12371.csv
0.08762886597938144	schips_21	18339604 - Pub_0_09278 Priv_0_09278.csv
0.05154639175257732	Le-Coqs	18358425 - Pub_0_05927 Priv_0_05927.csv
0.04896907216494845	hrambton	18339879 - Pub_0_05154 Priv_0_05154.csv
0.04381443298969072	sisidra	18362353 - Pub_0_04381 Priv_0_04381.csv
0.010309278350515464	MLaureen	18351980 - Pub_0_01546 Priv_0_01546.csv
